PREFIX,LABEL,PUBLISHER
AXF,ALTITUDE X FABER,BMG PRODUCTION MUSIC
AXS,AXS MUSIC,BMG PRODUCTION MUSIC
AXW,AXS WORLD,BMG PRODUCTION MUSIC
AZ,AMPHIBIOUS ZOO,BMG PRODUCTION MUSIC
BBGH,BBGH MUSIC,BMG PRODUCTION MUSIC
BC,BLIND COLOR,BMG PRODUCTION MUSIC
BCB,BEATCLOCK,BMG PRODUCTION MUSIC
BFX,BEATFIX,BMG PRODUCTION MUSIC
BIB,BLACK IS BLONDE,BMG PRODUCTION MUSIC
BIBTQ,BIBLIOTHEQUE,BMG PRODUCTION MUSIC
BIM,BIG IDEA MUSIC,BMG PRODUCTION MUSIC
BMBX,BOOMBOX,BMG PRODUCTION MUSIC
BMF,BASSTONE,BMG PRODUCTION MUSIC
BNB,BEDS & BEATS,BMG PRODUCTION MUSIC
BOOSTTV,BOOST TV,BMG PRODUCTION MUSIC
BP,BEATS PLANET,BMG PRODUCTION MUSIC
BRG,BLACK RED GOLD,BMG PRODUCTION MUSIC
BSM,BIG SCREEN MUSIC,BMG PRODUCTION MUSIC
BYND,MUSIC BEYOND,BMG PRODUCTION MUSIC
CACL,CAVENDISH CLASSICAL,BMG PRODUCTION MUSIC
CAR,CPM,BMG PRODUCTION MUSIC
CAS,CPM ARCHIVE SERIES,BMG PRODUCTION MUSIC
CAVA,CAVENDISH ARCHIVE,BMG PRODUCTION MUSIC
CAVC,CAVENDISH,BMG PRODUCTION MUSIC
CAVT,CAVENDISH TRAILERS,BMG PRODUCTION MUSIC
CHR,CHAPEL OF ROCK (CHR),BMG PRODUCTION MUSIC
CLASS,CPM CLASSICAL,BMG PRODUCTION MUSIC
CM,CHROMA MUSIC,BMG PRODUCTION MUSIC
CMGA,CAFÉ MONDO,BMG PRODUCTION MUSIC
CMXA,CHROMA X,BMG PRODUCTION MUSIC
COM,CLOCKWORK ORANGE,BMG PRODUCTION MUSIC
CRM,CRITICAL MASS,BMG PRODUCTION MUSIC
CST,CINEMA SOUND TOOLS,BMG PRODUCTION MUSIC
CSV,CRIMESONICS,BMG PRODUCTION MUSIC
CT,CINEMATIC TRACKS,BMG PRODUCTION MUSIC
CTR,COUNTER MUSIC,BMG PRODUCTION MUSIC
CTV,COLOR TV,BMG PRODUCTION MUSIC
DAA,DANCING ABOUT ARCHITECTURE,BMG PRODUCTION MUSIC
DAR,DARWIN MUSIC,BMG PRODUCTION MUSIC
DEM,DEEP EAST MUSIC,BMG PRODUCTION MUSIC
DEN,THE DEN,BMG PRODUCTION MUSIC
DIST,DISTORTION,BMG PRODUCTION MUSIC
DM,DYNAMIC MUSIC,BMG PRODUCTION MUSIC
E&E,EYEBALLS & EARDRUMS,BMG PRODUCTION MUSIC
ED,EARDRUM MUSIC,BMG PRODUCTION MUSIC
EGG,EGG MUSIC,BMG PRODUCTION MUSIC
ELEFAT,ELEPHANT SOUND DESIGN,BMG PRODUCTION MUSIC
ELEPTSD,ELEPHANT SOUND DESIGN,BMG PRODUCTION MUSIC
EMHCML,EMH CLASSICAL,BMG PRODUCTION MUSIC
EMM,EVOLUTION MEDIA MUSIC,BMG PRODUCTION MUSIC
ENG,ENGINUITY MUSIC,BMG PRODUCTION MUSIC
ER,ELBROAR EDITION,BMG PRODUCTION MUSIC
ES,EPIC SCORE,BMG PRODUCTION MUSIC
ESE,ESSENTIAL ELEMENTS,BMG PRODUCTION MUSIC
ESO,ENTERPRISES SONOR,BMG PRODUCTION MUSIC
ETK,CRIMESONICS,BMG PRODUCTION MUSIC
FACT,LIFT FACTUAL,BMG PRODUCTION MUSIC
FDMSCIC,DIVERSE MUSIC,BMG PRODUCTION MUSIC
FH,MEDIAHORSE / FUTURE HEROES,BMG PRODUCTION MUSIC
FKM,INTERVOX MOVIE EDITION,BMG PRODUCTION MUSIC
FL,FLOAT MUSIC,BMG PRODUCTION MUSIC
FLAVA,LIFT / FLAVA,BMG PRODUCTION MUSIC
FMLFC,FELT MUSIC LIBRARY,BMG PRODUCTION MUSIC
FMLOS,MASTERS OF SCORE,BMG PRODUCTION MUSIC
FMLOTB,OFF TO BATTLE,BMG PRODUCTION MUSIC
FMLSC,SOUND CIRCLE,BMG PRODUCTION MUSIC
FOX,FOXHOLE,BMG PRODUCTION MUSIC
FTTT,FULL TILT,BMG PRODUCTION MUSIC
GA,GROOVE ADDICTS,BMG PRODUCTION MUSIC
GAP,GAPTRAX,BMG PRODUCTION MUSIC
GAS,GAS,BMG PRODUCTION MUSIC
GOB,GLORY OATH & BLOOD,BMG PRODUCTION MUSIC
GSD,GRAPHIC SOUND DESIGN,BMG PRODUCTION MUSIC
GV,GRAVITY,BMG PRODUCTION MUSIC
HARD,HARD MUSIC DESIGN,BMG PRODUCTION MUSIC
HDMN,HDMN PRIME,BMG PRODUCTION MUSIC
HGMIX,HELLA GOOD RECORDS,BMG PRODUCTION MUSIC
HGR,HELLA GOOD RECORDS,BMG PRODUCTION MUSIC
HK,HYPEKIT,BMG PRODUCTION MUSIC
HMS,HANDMADE SOUNDS,BMG PRODUCTION MUSIC
HOME,HOMEGROWN,BMG PRODUCTION MUSIC
HUMN,HUMAN,BMG PRODUCTION MUSIC
IG,IGNITE,BMG PRODUCTION MUSIC
IMX,IMMEDIATE,BMG PRODUCTION MUSIC
INAM,I'M NOT A MACHINE,BMG PRODUCTION MUSIC
IND,INDIESONICS,BMG PRODUCTION MUSIC
INF,INFINI MUSIC,BMG PRODUCTION MUSIC
INPIC,IN PICTURES,BMG PRODUCTION MUSIC
INSD,INSIDE TRACKS,BMG PRODUCTION MUSIC
INWLDVG,INVISIBLE WORLD,BMG PRODUCTION MUSIC
IPM,IMPRESSIVE MINDS,BMG PRODUCTION MUSIC
ITG,INTHEGROOVE,BMG PRODUCTION MUSIC
IVOX,INTERVOX,BMG PRODUCTION MUSIC
JTM,JOLT TRAILER MUSIC,BMG PRODUCTION MUSIC
KBM,KURT BESTOR,BMG PRODUCTION MUSIC
KING,KINGDOM 2,BMG PRODUCTION MUSIC
KL,KLANGLOBBY,BMG PRODUCTION MUSIC
KSM,KINGSIZE,BMG PRODUCTION MUSIC
LCM,LEMONCAKE MUSIC,BMG PRODUCTION MUSIC
LIFT,LIFT / FLAVA,BMG PRODUCTION MUSIC
LMNTL,LMNTL,BMG PRODUCTION MUSIC
LQC,LIQUID CINEMA,BMG PRODUCTION MUSIC
M,ONETRACKADAY,BMG PRODUCTION MUSIC
MAM,MINDS AND MUSIC,BMG PRODUCTION MUSIC
MASSIVE,MASSIVE BASS,BMG PRODUCTION MUSIC
MB,MINDBENDERS,BMG PRODUCTION MUSIC
MCMA,MIDCOAST MUSIC ARTIST SONGS,BMG PRODUCTION MUSIC
MCMSO,MIDCOAST MUSIC SPECIAL OCCASIONS,BMG PRODUCTION MUSIC
MCMW,MIDCOAST MUSIC WIRED,BMG PRODUCTION MUSIC
MIN,MINIMAL MUSIC,BMG PRODUCTION MUSIC
MM,MIXTAPE MASHUP,BMG PRODUCTION MUSIC
MOPM,MODUS OPERANDI,BMG PRODUCTION MUSIC
MSJ,MUST SAVE JANE,BMG PRODUCTION MUSIC
NKD,NAKED MUSIC,BMG PRODUCTION MUSIC
NRV,REVOLUCION,BMG PRODUCTION MUSIC
NSM,NO SHEET MUSIC,BMG PRODUCTION MUSIC
NSPR,NON-STOP PREMIERS,BMG PRODUCTION MUSIC
NSPRADV,NON-STOP PREMIERS,BMG PRODUCTION MUSIC
NSPRROM,NON-STOP PREMIERS,BMG PRODUCTION MUSIC
NSPS,NON-STOP PRODUCERS,BMG PRODUCTION MUSIC
NTPM,NINJA TUNES,BMG PRODUCTION MUSIC
NTV,NEEDLETRACKS.TV,BMG PRODUCTION MUSIC
OAT,ONE AIR TIME,BMG PRODUCTION MUSIC
OIL,OIL,BMG PRODUCTION MUSIC
OSPK,ORGANIC SPARK,BMG PRODUCTION MUSIC
PA,PROMO ACCELERATOR,BMG PRODUCTION MUSIC
PED,PEDIGREE CUTS,BMG PRODUCTION MUSIC
PFF,PIANO FOR FILM,BMG PRODUCTION MUSIC
PGH,PLAYGROUND HOLLYWOOD,BMG PRODUCTION MUSIC
PGO,PARIGO,BMG PRODUCTION MUSIC
PICX,PICTURE PUNCTURE,BMG PRODUCTION MUSIC
PLAY,PLAYLIST PRODUCTION MUSIC,BMG PRODUCTION MUSIC
PM,PLATINUM MUSIC,BMG PRODUCTION MUSIC
PMC,PARRY MUSIC CLASSICAL,BMG PRODUCTION MUSIC
PML,PARRY MUSIC LIBRARY,BMG PRODUCTION MUSIC
POKE,POKE,BMG PRODUCTION MUSIC
POPM,POP MACHINE,BMG PRODUCTION MUSIC
PP,PERFECT PITCH,BMG PRODUCTION MUSIC
PP,PP MUSIC,BMG PRODUCTION MUSIC
PPM,PPM,BMG PRODUCTION MUSIC
PPOP,PUSH POP,BMG PRODUCTION MUSIC
PSYNC,PLANET SYNC MUSIC LIBRARY,BMG PRODUCTION MUSIC
PTCH,PITCH HAMMER,BMG PRODUCTION MUSIC
RS,RONALD STEIN,BMG PRODUCTION MUSIC
RSA,REDSHIFT ARTISTS,BMG PRODUCTION MUSIC
RV,REVOLUCION,BMG PRODUCTION MUSIC
SA,SONIC ARTIFACT,BMG PRODUCTION MUSIC
SC,SCAREMEISTER,BMG PRODUCTION MUSIC
SC,SELECTRACKS SONG CATALOG,BMG PRODUCTION MUSIC
SCORE,SCORE,BMG PRODUCTION MUSIC
SCR,SCORCHED SCORE,BMG PRODUCTION MUSIC
SD,SOUND DESIGNS,BMG PRODUCTION MUSIC
SE,SO EFFECTIVE,BMG PRODUCTION MUSIC
SFL,615 MUSIC,BMG PRODUCTION MUSIC
SFLY,SUPERFLY AUDIO,BMG PRODUCTION MUSIC
SMM,SICK MUSE MUSIC,BMG PRODUCTION MUSIC
SMM,SILENT METHODS,BMG PRODUCTION MUSIC
SQ,SONIC QUIVER,BMG PRODUCTION MUSIC
SRL,SPECIAL REQUESTS,BMG PRODUCTION MUSIC
SS,SCORING STAGE,BMG PRODUCTION MUSIC
ST,SELECTRACKS INSTRUMENTAL,BMG PRODUCTION MUSIC
STR,STEREO ROYAL,BMG PRODUCTION MUSIC
STRP,STRIP SOUNDS,BMG PRODUCTION MUSIC
SUN,SUNSTONE RECORDINGS,BMG PRODUCTION MUSIC
SUPER,SUPERSTORE,BMG PRODUCTION MUSIC
TBX,THE BOX,BMG PRODUCTION MUSIC
TELE,TELE MUSIC,BMG PRODUCTION MUSIC
TJ,TWISTED JUKEBOX,BMG PRODUCTION MUSIC
TL,WHO DID THAT MUSIC,BMG PRODUCTION MUSIC
TMCD,TELE MUSIC CLASSIC VAULTS,BMG PRODUCTION MUSIC
TREAD,TREAD,BMG PRODUCTION MUSIC
TUBE,TUBESOUNDS,BMG PRODUCTION MUSIC
TVU,TELEVISION UNDERSCORE,BMG PRODUCTION MUSIC
UCD,ULTIMATE CRIME & DRAMA,BMG PRODUCTION MUSIC
UN,VIBEY LIBRARY,BMG PRODUCTION MUSIC
UND,UNDERSCORE MUSIC LIBRARY,BMG PRODUCTION MUSIC
UPMCD,ULTRAPHONIC,BMG PRODUCTION MUSIC
V,V,BMG PRODUCTION MUSIC
VALO,VALO,BMG PRODUCTION MUSIC
VH,VIDEOHELPER,BMG PRODUCTION MUSIC
VHCL,VIDEOHELPER - COLOSSICAL,BMG PRODUCTION MUSIC
VHEX,VIDEOHELPER - MORE MUSIC,BMG PRODUCTION MUSIC
VHHBD,VIDEOHELPER - MORE MUSIC,BMG PRODUCTION MUSIC
VHMD,VIDEOHELPER - MODULES SOUND DESIGN,BMG PRODUCTION MUSIC
VHP,VIDEOHELPER - PROJECTS,BMG PRODUCTION MUSIC
VHSH,VIDEOHELPER - SCOREHELPER,BMG PRODUCTION MUSIC
VIBEY,VIBEY LIBRARY,BMG PRODUCTION MUSIC
VT,VALENTINO,BMG PRODUCTION MUSIC
WCMI,WARNER CHAPPELL ITALIA,BMG PRODUCTION MUSIC
WILD,LIFT WILDCARDS,BMG PRODUCTION MUSIC
WN,WOTNOT MUSIC LIBRARY,BMG PRODUCTION MUSIC
WPM,WRONG PLANET,BMG PRODUCTION MUSIC
X,XTORTION AUDIO,BMG PRODUCTION MUSIC
XRD,X-RAY DOG,BMG PRODUCTION MUSIC
ZEST,ZEST,BMG PRODUCTION MUSIC
ZONE,ZONE MUSIC,BMG PRODUCTION MUSIC
ZONE,ZONE PLUS,BMG PRODUCTION MUSIC
ZTR,ZONE TRAILERS,BMG PRODUCTION MUSIC
BLP,BOSWORTH (LPS),EMBASSY MUSIC PUBLISHING PTY LTD
BOCD,BOSWORTH,EMBASSY MUSIC PUBLISHING PTY LTD
BPM,BOSWORTH,EMBASSY MUSIC PUBLISHING PTY LTD
EA,EMIL ASCHER,EMBASSY MUSIC PUBLISHING PTY LTD
MFS,MUSIC FOR SPORT,EMBASSY MUSIC PUBLISHING PTY LTD
MLG,MOOD LIBRARY GALLO,EMBASSY MUSIC PUBLISHING PTY LTD
SRTL,SRTL,EMBASSY MUSIC PUBLISHING PTY LTD
STM,SCREEN TWO MUSIC,EMBASSY MUSIC PUBLISHING PTY LTD
VM,VIDEO MOODS,EMBASSY MUSIC PUBLISHING PTY LTD
WM,WATER MUSIC,EMBASSY MUSIC PUBLISHING PTY LTD
ADD,ADDITION MUSIC,EMI PRODUCTION MUSIC
ANH,ANNIHILATION,EMI PRODUCTION MUSIC
APMC,APM COLLECTION,EMI PRODUCTION MUSIC
ASM,AUSTRALIAN SCREEN MUSIC 301,EMI PRODUCTION MUSIC
AVCD,AV MUSIC PUBLISHERS,EMI PRODUCTION MUSIC
BITE,BITE HARD,EMI PRODUCTION MUSIC
BM,BERRY/CONROY 78,EMI PRODUCTION MUSIC
BMLP,BERRY MUSIC,EMI PRODUCTION MUSIC
BMLP,CONROY,EMI PRODUCTION MUSIC
BMLPF,CONROY FEELINGS,EMI PRODUCTION MUSIC
BMPPS,BERRY/CONROY PROGRAMME PRODUCTION,EMI PRODUCTION MUSIC
CD,SELECTED SOUND,EMI PRODUCTION MUSIC
CDGML,DED GOOD MUSIC CDGML SERIES,EMI PRODUCTION MUSIC
CHALK,CHALK,EMI PRODUCTION MUSIC
CINE,CINEMUSIC RECORDINGS,EMI PRODUCTION MUSIC
CM,CASTLE MUSIC,EMI PRODUCTION MUSIC
CMR,CINEMUSIC RECORDINGS,EMI PRODUCTION MUSIC
CS,COLOURSOUND,EMI PRODUCTION MUSIC
CSCD,COLOURSOUND CD,EMI PRODUCTION MUSIC
CSLP,COLOURSOUND VINYL,EMI PRODUCTION MUSIC
DED,DED GOOD MUSIC LIBRARY,EMI PRODUCTION MUSIC
DED,DED GOOD DED SERIES,EMI PRODUCTION MUSIC
DEWEB,DE WOLFE (WEB ONLY - ONLINE SERVICE),EMI PRODUCTION MUSIC
DRVN,DRIVEN,EMI PRODUCTION MUSIC
DW/LP,DE WOLFE (LPS),EMI PRODUCTION MUSIC
DWC,DE WOLFE,EMI PRODUCTION MUSIC
DWCD,DE WOLFE,EMI PRODUCTION MUSIC
DWCD,DE WOLFE,EMI PRODUCTION MUSIC
DWCD/SUP,DE WOLFE USA,EMI PRODUCTION MUSIC
DWCOM,DE WOLFE COMMERCIAL BREAKS,EMI PRODUCTION MUSIC
DWJAZZ,DE WOLFE JAZZ SERIES,EMI PRODUCTION MUSIC
DWLP,DE WOLFE VINYL,EMI PRODUCTION MUSIC
DWMIL,DE WOLFE MILLENIUM,EMI PRODUCTION MUSIC
DWRPO,DE WOLFE ROYAL PHILHARMONIC CLASSICAL SERIES,EMI PRODUCTION MUSIC
DWS/LP,DE WOLFE,EMI PRODUCTION MUSIC
DWUSA,DE WOLFE USA,EMI PRODUCTION MUSIC
DWUSA,SOLID STATE MUSIC,EMI PRODUCTION MUSIC
DWUSA,DE WOLFE USA,EMI PRODUCTION MUSIC
EMPM,EMERGENCY PRODUCTION MUSIC,EMI PRODUCTION MUSIC
EMPM,EPM MAIN SERIES,EMI PRODUCTION MUSIC
EMPMS,EMERGENCY SPECIALTY SERIES,EMI PRODUCTION MUSIC
END,ENDGAME MUSIC LIBRARY,EMI PRODUCTION MUSIC
ENDC,ENDGAME CLASSIC GAMES,EMI PRODUCTION MUSIC
EURO,EUROBEAT,EMI PRODUCTION MUSIC
FDH,FRANCIS DAY & HUNTER,EMI PRODUCTION MUSIC
FTV,FTV MEDIA LIBRARY,EMI PRODUCTION MUSIC
FTVMEDIA,FTV MEDIA LIBRARY,EMI PRODUCTION MUSIC
FTVOL,FTV MEDIA ONLINE,EMI PRODUCTION MUSIC
HMC,HUDSON MUSIC,EMI PRODUCTION MUSIC
HMCS,HUDSON MUSIC,EMI PRODUCTION MUSIC
HRCB,HUDSON MUSIC,EMI PRODUCTION MUSIC
HRCB,HUDSON RECORDS,EMI PRODUCTION MUSIC
IRCD,IRRADIA,EMI PRODUCTION MUSIC
IRR,IRRADIA,EMI PRODUCTION MUSIC
JGM,JAMES GRANT MUSIC (JGM),EMI PRODUCTION MUSIC
JM,JUICE MUSIC LIBRARY,EMI PRODUCTION MUSIC
JMOD,JUICE MUSIC ON DEMAND,EMI PRODUCTION MUSIC
JMOL,JUICE MUSIC ONLINE,EMI PRODUCTION MUSIC
JMP,JUMP,EMI PRODUCTION MUSIC
JUST,JUSTEMENT MUSIC,EMI PRODUCTION MUSIC
JUSTE,JUSTEMENT ETHNIC,EMI PRODUCTION MUSIC
KPM,KPM MAIN SERIES,EMI PRODUCTION MUSIC
KPM,KPM (ON LP),EMI PRODUCTION MUSIC
KPMA,KPM AUSTRALIA,EMI PRODUCTION MUSIC
KPMC,KPM CLASSICAL,EMI PRODUCTION MUSIC
KPMCS,KPM CLASSICAL,EMI PRODUCTION MUSIC
KPMINT,KPM INTERNATIONAL,EMI PRODUCTION MUSIC
KPMK,KPM 1000 SERIES,EMI PRODUCTION MUSIC
KPMLP,KPM 1000 SERIES LP SERIES,EMI PRODUCTION MUSIC
KPMLPB,KPM BROWNSLEEVES,EMI PRODUCTION MUSIC
KPMS,KPM SHORTS,EMI PRODUCTION MUSIC
KPMT,KPM TRAILERS,EMI PRODUCTION MUSIC
KPMWM,KPM WORLD MUSIC,EMI PRODUCTION MUSIC
LIVE,LIVE SOURCE MUSIC,EMI PRODUCTION MUSIC
LS,LANDSCAPE CLASSICS,EMI PRODUCTION MUSIC
LSC,LANDSCAPE CLASSICS,EMI PRODUCTION MUSIC
MH,MUSIC HOUSE,EMI PRODUCTION MUSIC
MHA,MUSIC HOUSE ATMOSPHERE,EMI PRODUCTION MUSIC
MHD,MUSIC HOUSE DRAMA,EMI PRODUCTION MUSIC
MHE,MUSIC HOUSE ENTERTAINMENT,EMI PRODUCTION MUSIC
MHI,MUSIC HOUSE INDUSTRY,EMI PRODUCTION MUSIC
MHS,MUSIC HOUSE SPECIFICS,EMI PRODUCTION MUSIC
MHT,MUSIC HOUSE TAPES,EMI PRODUCTION MUSIC
MODEL,MODEL MUSIC LIBRARY,EMI PRODUCTION MUSIC
MPATH,MPATH,EMI PRODUCTION MUSIC
MYMA,MONTMORENCY RECORDS,EMI PRODUCTION MUSIC
MYR,MONTMORENCY RECORDS,EMI PRODUCTION MUSIC
OMT,ONE MORE TIME,EMI PRODUCTION MUSIC
PHA,PHANTOM POWER,EMI PRODUCTION MUSIC
PMY,PRIMARY,EMI PRODUCTION MUSIC
PROD,PRODUCER'S MUSIC LIBRARY,EMI PRODUCTION MUSIC
QT,QUANTUM TRACKS,EMI PRODUCTION MUSIC
RAYDIA,RAYDIA,EMI PRODUCTION MUSIC
REDM,RED MATTER,EMI PRODUCTION MUSIC
RELOAD,(KPM) RELOAD,EMI PRODUCTION MUSIC
RHZ,RHYMEZ,EMI PRODUCTION MUSIC
RLF,THE REAL FIFTH,EMI PRODUCTION MUSIC
RLZ,RHYMEZ RED LINE,EMI PRODUCTION MUSIC
RMCD,ROUGE MUSIC,EMI PRODUCTION MUSIC
RMCD,ROUGE MUSIC,EMI PRODUCTION MUSIC
RMS,ROUGE MUSIC,EMI PRODUCTION MUSIC
RMWEB,ROUGE MUSIC,EMI PRODUCTION MUSIC
RPMLP,RADIO PROGRAMME MUSIC,EMI PRODUCTION MUSIC
RSE,READY STEADY EDIT,EMI PRODUCTION MUSIC
S.O.N.,SOUNDS OF NOW,EMI PRODUCTION MUSIC
SATV,SATV MUSIC,EMI PRODUCTION MUSIC
SATVCD,SATV,EMI PRODUCTION MUSIC
SATVDG,IN THE EDIT,EMI PRODUCTION MUSIC
SATVEP,SATV EP SERIES,EMI PRODUCTION MUSIC
SCOP,STEREOSCOPIC,EMI PRODUCTION MUSIC
SCSO,SCORE & SONGS,EMI PRODUCTION MUSIC
SEL,SELECTED SOUND,EMI PRODUCTION MUSIC
SEL_LS,SELECTED SOUND,EMI PRODUCTION MUSIC
SEL_LSC,SELECTED SOUND,EMI PRODUCTION MUSIC
SELLP,SELECTED SOUND VINYL SERIES,EMI PRODUCTION MUSIC
SELS,SELECTED SOUND,EMI PRODUCTION MUSIC
SIR,SIREN CUES LIBRARY,EMI PRODUCTION MUSIC
SLX,SONIC ELIXIR,EMI PRODUCTION MUSIC
SMC,SYLVESTER,EMI PRODUCTION MUSIC
SMCS,SYLVESTER,EMI PRODUCTION MUSIC
SONIA,SONIA SELECTED SOUNDS,EMI PRODUCTION MUSIC
SPARKLE,SPARKLE & BURN,EMI PRODUCTION MUSIC
SPCD,SOUND-POL,EMI PRODUCTION MUSIC
SPL,SILVERPOINT,EMI PRODUCTION MUSIC
SYNC,SYNCTRACKS,EMI PRODUCTION MUSIC
TIM,THEMES INTERNATIONAL,EMI PRODUCTION MUSIC
TIMLP,THEMES INTERNATIONAL VINYL SERIES,EMI PRODUCTION MUSIC
TRL,TRILOGY,EMI PRODUCTION MUSIC
VMP,VISION MUSIC PUBLISHING,EMI PRODUCTION MUSIC
WIDE,WIDESCREEN,EMI PRODUCTION MUSIC
IMP,IMPAX,ERWIN PITSCH PUBLISHING
T4M,TON 4 MUSIC,ERWIN PITSCH PUBLISHING
ATN,EXTREME A-TONE RECORDINGS SERIES,EXTREME MUSIC
DCD,EXTREME DIRECTORS CUTS SERIES,EXTREME MUSIC
GAA,EXTREME GORE & AUDIO SERIES,EXTREME MUSIC
HPE,EXTREME MTVN HYPE CATALOGUE,EXTREME MUSIC
LAA,EXTREME LAW & AUDIO SERIES,EXTREME MUSIC
MDE,EXTREME MADE SERIES,EXTREME MUSIC
QCD,EXTREME Q SERIES,EXTREME MUSIC
SCS,EXTREME SCOREGANICS SERIES,EXTREME MUSIC
SPN,EXTREME VORTRAX SERIES,EXTREME MUSIC
SRG,EXTREME SAINT ROGUE SERIES,EXTREME MUSIC
STN,EXTREME SPACE TONES,EXTREME MUSIC
VNX,EXTREME VELVET EARS SERIES,EXTREME MUSIC
WAA,EXTREME WAR & AUDIO SERIES,EXTREME MUSIC
XCD,EXTREME X-SERIES,EXTREME MUSIC
XCL,EXTREME ULTIMATE CLASSIX,EXTREME MUSIC
XDC,EXTREME DEVIL’S CUT SERIES,EXTREME MUSIC
XEL,EXTREME EASY LISTENING SERIES,EXTREME MUSIC
XET,EXTREME EARTH TONES SERIES,EXTREME MUSIC
XGM,EXTREME GRANDMASTER SERIES,EXTREME MUSIC
XLR,EXTREME LAB RAT RECORDINGS SERIES,EXTREME MUSIC
XMT,EXTREME MIXTAPE SERIES,EXTREME MUSIC
XPS,EXTREME PASSPORT SERIES,EXTREME MUSIC
XRC,EXTREME REALITY CHECK SERIES,EXTREME MUSIC
XSF,EXTREME SPITFIRE AUDIO SERIES,EXTREME MUSIC
XSP,EXTREME SUPER POP SERIES,EXTREME MUSIC
XSR,EXTREME SUPER ROCK SERIES,EXTREME MUSIC
XST,EXTREME STAMPEDE SERIES,EXTREME MUSIC
XTS,EXTREME TWO STEPS FROM HELL SERIES,EXTREME MUSIC
XTW,EXTREME TWISTED SERIES,EXTREME MUSIC
XXL,EXTREME 13 BROTHERHOOD SERIES,EXTREME MUSIC
XXX,EXTREME MOONSHINE MUSIC SERIES,EXTREME MUSIC
AD,ADAPT,FABLE MUSIC PTY LTD
ARTF,ARTFUL RECORDED MUSIC LIBRARY,FABLE MUSIC PTY LTD
CDPEL,GEMINI MUSIC,FABLE MUSIC PTY LTD
CDW,WORK MUSIC,FABLE MUSIC PTY LTD
DK,DRAMA KING,FABLE MUSIC PTY LTD
GWX,GROOVEWORX,FABLE MUSIC PTY LTD
HMM,HONEY MONEY MUSIC,FABLE MUSIC PTY LTD
IMCD,IMAGE MUSIC LIBRARY,FABLE MUSIC PTY LTD
IMED,IMAGE EDGE LIBRARY,FABLE MUSIC PTY LTD
IMPR,IMAGE PROMOS,FABLE MUSIC PTY LTD
MJ,MUSICJAG,FABLE MUSIC PTY LTD
MJ,MUSICJAG CLASSICAL,FABLE MUSIC PTY LTD
MML,MEDIATRACKS MUSIC LIBRARY,FABLE MUSIC PTY LTD
MOR,MORNING MUSIC PRODUCTION LIBRARY,FABLE MUSIC PTY LTD
OGM,OLE GEORG MUSIC,FABLE MUSIC PTY LTD
PLA,AFRICAN PLANIT,FABLE MUSIC PTY LTD
TGLM,GOLD LEAF MUSIC LIBRARY,FABLE MUSIC PTY LTD
UBM,UBM RECORDS,FABLE MUSIC PTY LTD
AC1,ACE LIBRARY,MOTION FOCUS MUSIC
BML,BART MUSIC LIBRARY,MOTION FOCUS MUSIC
EAR,EARMOTION,MOTION FOCUS MUSIC
"HDCD
ESCD
HDCDV
ICCD",DENNIS MUSIC INTERNATIONAL,MOTION FOCUS MUSIC
JFM,JOHN FULFORD MUSIC - THE TRAK KARTEL,MOTION FOCUS MUSIC
MBG,MUSIC BLVD GROUP,MOTION FOCUS MUSIC
MOFOM,MOTION FOCUS MUSIC,MOTION FOCUS MUSIC
POP-PI,POPVIRUS INTERNATIONAL,MOTION FOCUS MUSIC
POP-PP,POPVIRUS PLANET,MOTION FOCUS MUSIC
POP-PV,POPVIRUS MUSIC,MOTION FOCUS MUSIC
POP-PS,POPVIRUS SOUNDTRACK,MOTION FOCUS MUSIC
OFF THE SHELF MUSIC,OFF THE SHELF MUSIC,OFF THE SHELF MUSIC
SONIC DOJO,SONIC DOJO,SONIC DOJO
10MILES,10 MILES,UNIVERSAL PRODUCTION MUSIC
AACD,ATMOSPHERE ARCHIVE,UNIVERSAL PRODUCTION MUSIC
AL,A-LIST MUSIC,UNIVERSAL PRODUCTION MUSIC
AM,ACCESS MUSIC,UNIVERSAL PRODUCTION MUSIC
APS,ATMOSPHERE PERFORMANCE SERIES,UNIVERSAL PRODUCTION MUSIC
AR,A-LIST RECORDS,UNIVERSAL PRODUCTION MUSIC
ARI,A REMARKABLE IDEA,UNIVERSAL PRODUCTION MUSIC
ARP,AIRPLAY,UNIVERSAL PRODUCTION MUSIC
ARX,ABBEY ROAD MASTERS,UNIVERSAL PRODUCTION MUSIC
ATMOS,ATMOSPHERE,UNIVERSAL PRODUCTION MUSIC
ATMOS-CDKITSCH,ATMOSPHERE KITSCH,UNIVERSAL PRODUCTION MUSIC
ATV,AS HEARD ON TV,UNIVERSAL PRODUCTION MUSIC
AUPM,AURORA PRODUCTION MUSIC,UNIVERSAL PRODUCTION MUSIC
AXS,ACCESS PROMOS,UNIVERSAL PRODUCTION MUSIC
B4C,BEST 4 CLASSICAL,UNIVERSAL PRODUCTION MUSIC
BBCPM,BBC PRODUCTION MUSIC,UNIVERSAL PRODUCTION MUSIC
BCC,BRUTON CLASSICAL SERIES,UNIVERSAL PRODUCTION MUSIC
BEE,B STINGS,UNIVERSAL PRODUCTION MUSIC
BER,BERLIN PRODUCTION MUSIC,UNIVERSAL PRODUCTION MUSIC
BIGS,BIG SHORTS,UNIVERSAL PRODUCTION MUSIC
